Well,lon,lat,x,y,x_zero,y_zero,Tem,EC,pH,Cl,NO3,SO4,HCO3,Na,K,Mg,Ca,Li,SiO2,CO2,Total As,Screen Lengh,Elevtion,Well bottom,Sampling date,Sample name,Cl,NO,SO,HCO,Na,K,Mg,Ca
1,131.506412,33.2735,733443.3735,3684410.268,5295,0,46.1,102,7.5,148,,83.4,261,112,13,29.1,48.6,1,159.2593162,22.9,0.053,,3,,2019/11/21,松原温泉,4.17 ,0.00 ,1.74 ,4.28 ,4.87 ,0.33 ,2.43 ,2.43 
2,131.50359,33.2736,733180.2036,3684415.049,5032,5,50.5,105,7.1,98.7,,70,281,102,12.9,25.4,37.5,0.8,182.3403765,61.6,0.055,183.0,5,-178.0,2019/10/07,紙屋温泉,2.78 ,0.00 ,1.46 ,4.61 ,4.43 ,0.33 ,2.12 ,1.88 
3,131.49819,33.273818,732676.5499,3684427.172,4528,17,38.6,73,7.7,90.5,,47.7,211,109,15.4,11.4,16.4,0.8,126.9458317,5.7,0.073,200.0,14,-186.0,2019/11/05,HOTEL 198,2.55 ,0.00 ,0.99 ,3.46 ,4.74 ,0.39 ,0.95 ,0.82 
4,131.497469,33.275204,732605.7018,3684579.281,4457,169,46.5,89,7.7,75.9,,76,296,98.5,11.4,25.8,39.1,0.7,174.6466897,13.2,0.084,150.0,17,-133.0,2019/09/11,山本病院,2.14 ,0.00 ,1.58 ,4.85 ,4.28 ,0.29 ,2.15 ,1.96 
5,131.492053,33.275286,732100.9293,3684576.314,3953,166,50.2,104,7.9,88.3,,124,258,121,11.6,22.9,30.7,1.1,153.1043668,6.6,0.167,,30,,2019/04/18,新光泉,2.49 ,0.00 ,2.58 ,4.23 ,5.26 ,0.30 ,1.91 ,1.54 
6,131.5062727,33.27545188,733425.1973,3684626.435,5277,216,42.8,54,7.9,45.1,,50.8,184,70.2,7.7,12.5,18.4,0.4,147.718786,7.5,0.077,,4,,2016/02/03,秋葉の湯,1.27 ,0.00 ,1.06 ,3.02 ,3.05 ,0.20 ,1.04 ,0.92 
7,131.50535,33.276368,733336.7992,3684725.975,5188,316,53.8,101,7.7,86.1,,74.9,383,102,15.3,33.9,54.4,1.1,199.2664874,25.5,0.052,,4,,2019/11/12,寿温泉,2.43 ,0.00 ,1.56 ,6.28 ,4.43 ,0.39 ,2.83 ,2.72 
8,131.5004385,33.27707406,732877.3718,3684793.309,4729,383,43.3,2,7.7,81.6,,72.6,348,101,13.2,29.3,43.1,0.6,170.0304777,,0.075,,10,,2015/06/30,不老泉,2.30 ,0.00 ,1.51 ,5.70 ,4.39 ,0.34 ,2.44 ,2.16 
9,131.504329,33.277621,733238.3487,3684862.66,5090,452,46.3,77,7.4,27.5,,52.1,391,101,11.4,20.8,35,0.9,163.8755282,57.6,0.089,100.0,6,-94.0,2018/11/01,梅園温泉,0.77 ,0.00 ,1.09 ,6.41 ,4.39 ,0.29 ,1.73 ,1.75 
10,131.4959482,33.27787879,732456.9286,3684872.545,4309,462,43.6,84,7.8,50.4,0.4,63.4,392.2,93.6,11.9,29.2,42.5,0.6,152.2580612,,0.05,193.0,24,-169.0,2015/06/17,エスペランサゆのか,1.42 ,0.01 ,1.32 ,6.43 ,4.07 ,0.31 ,2.43 ,2.13 
11,131.4955514,33.27858229,732418.0979,3684949.685,4270,539,49.4,100,7.9,35.4,,56.1,470,97.9,13.5,32.9,51.2,0.6,157.7205788,28.6,0.033,120.0,24,-96.0,2017/10/05,九日天温泉,1.00 ,0.00 ,1.17 ,7.70 ,4.26 ,0.35 ,2.74 ,2.56 
12,131.506251,33.278685,733414.564,3684984.964,5266,575,55.6,368,7.6,849,1.3,91.9,622,413,68.4,77.6,159,1.8,180.8016391,8.8,0.14,,2,,2018/05/21,ホテルニューツルタ,23.92 ,0.02 ,1.91 ,10.20 ,17.96 ,1.75 ,6.47 ,7.95 
13,131.5020167,33.27906019,733019.1129,3685017.109,4871,607,50.6,98,7.7,49.6,,51.5,493,144,15.5,21.3,35.3,1,163.8755282,24.6,0.095,180.0,7,-173.0,2016/01/20,駅前高等温泉,1.40 ,0.00 ,1.07 ,8.08 ,6.26 ,0.40 ,1.78 ,1.77 
14,131.501314,33.279251,732953.1447,3685036.702,4805,626,58.3,146,8.4,131,,71.4,538,245,30,27.6,14.9,2.1,148.4881547,,0.238,150.0,10,-140.0,2018/07/09,清水の湯,3.69 ,0.00 ,1.49 ,8.82 ,10.65 ,0.77 ,2.30 ,0.75 
15,131.506846,33.27948,733467.8741,3685074.467,5320,664,58.2,668,7.7,2450,,191,681,1200,153,106,367,2.9,163.1061596,17.6,0.125,200.0,3,-197.0,2017/11/17,ホテルエール,69.01 ,0.00 ,3.98 ,11.16 ,52.17 ,3.92 ,8.83 ,18.35 
16,131.500698,33.279699,732894.5699,3685085.013,4746,675,42.5,279,6.2,638,1.1,208,12.2,372,94.3,9,34.5,3.9,325.4429504,26.4,0.188,,11,,2019/08/21,別府駅前手湯,17.97 ,0.02 ,4.33 ,0.20 ,16.17 ,2.42 ,0.75 ,1.73 
17,131.5012503,33.27976762,732945.8373,3685093.857,4798,684,34.5,91,7.1,32.2,0.4,54,448,118,11.2,21.2,37.4,0.8,147.718786,22.4,0.046,120.0,11,-109.0,2015/02/25,ホテル はやし,0.91 ,0.01 ,1.13 ,7.34 ,5.13 ,0.29 ,1.77 ,1.87 
18,131.505865,33.279787,733375.6705,3685106.32,5227,696,39,105,6.6,34,,55.3,529,140,20.3,25.8,40.7,1.1,180.8016391,116,0.1,180.0,4,-176.0,2019/08/26,トキハ,0.96 ,0.00 ,1.15 ,8.67 ,6.09 ,0.52 ,2.15 ,2.04 
19,131.506643,33.28013149,733447.2278,3685146.268,5299,736,51.6,208,7.9,320,1,59.1,647,325,45.2,34,59.7,1.4,162.3367909,1.3,0.125,,3,,2015/01/28,ホテル雄飛,9.01 ,0.02 ,1.23 ,10.61 ,14.13 ,1.16 ,2.83 ,2.99 
20,131.495681,33.280351,732425.4795,3685146.136,4277,736,48.2,121,7.8,40.8,,53.1,512.1,129.1,14.1,24.6,53.1,0.7,156.5665258,205.8,0.001,120.0,27,-93.0,2017/06/14,花べっぷ,1.15 ,0.00 ,1.11 ,8.40 ,5.61 ,0.36 ,2.05 ,2.66 
21,131.503286,33.280509,733133.5014,3685180.629,4985,770,54.7,129,7.7,81.6,,60.3,646,211,34.7,21.3,38.2,1.3,200.0358561,26.4,0.151,,7,,2020/01/08,海門寺温泉,2.30 ,0.00 ,1.26 ,10.59 ,9.17 ,0.89 ,1.78 ,1.91 
22,131.502612,33.281,733069.409,3685233.579,4921,823,58.7,122,7.7,56.7,,56.9,649.8,206.6,30.3,18.8,34.2,1.3,196.2659495,,0.139,,9,,2019/08/21,春日温泉,1.60 ,0.00 ,1.19 ,10.65 ,8.98 ,0.78 ,1.57 ,1.71 
23,131.5069322,33.28123715,733471.2221,3685269.541,5323,859,52,221,7.5,342.5,0.3,66.1,785.8,293.9,47.9,60.1,90.5,1.2,154.7969778,0.4,0.001,,3,,2015/04/22,加賀屋,9.65 ,0.00 ,1.38 ,12.88 ,12.78 ,1.23 ,5.01 ,4.53 
24,131.5072546,33.28128966,733501.1151,3685276.086,5353,866,48.5,200,8.21,257.6,,9.9,689.5,297.9,43.2,18.8,57.6,0.6,130.1002433,12.1,0.001,240.0,3,-237.0,2015/05/26,ホテルニュー松実,7.26 ,0.00 ,0.21 ,11.30 ,12.95 ,1.11 ,1.57 ,2.88 
25,131.499638,33.2813,732791.5715,3685260.21,4643,850,53.8,125,8.1,58.4,,51.3,672,189,14.9,30.1,44.4,1.6,191.5728006,7.9,0.116,,16,,2019/06/19,千成温泉,1.65 ,0.00 ,1.07 ,11.02 ,8.22 ,0.38 ,2.51 ,2.22 
